text,label
u call,ham
tell u headache want use hour sick time,ham
never try alone take weight tear come ur heart fall ur eye always remember stupid friend share bslvyl,ham
rajipls favour pls convey birthday wish nimya pls today birthday,ham
time im prob,ham
hi kate lovely see tonight ill phone tomorrow got sing guy gave card xxx,ham
usualiam fine happy amp well,ham
nope watching tv home going v bored,ham
p u ur grown right,ham
k wat tht incident,ham
u awake snow,ham
shes good wondering wont say hi shes smiling coping long distance,ham
intrepid duo great time see soon,ham
gobi art college,ham
credit topped httpwwwbubbletextcom renewal pin tgxxrz,spam
thought put back box,ham
wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob,ham
hi mobile ltgt added contact list wwwfullonsmscom great place send free sm people visit fullonsmscom,ham
easy ahsen got selected mean good,ham
know im lacking particular dramastorms detail part im worried,ham
kkhow business,ham
probably earlier station think,ham
sorryin meeting ill call later,ham
forwarded hi mailbox messaging sm alert match please call back retrieve message match ccpmin,spam
got another job one hospital data analysis something start monday sure thesis got finished,ham
free entry grprizes wkly comp chance win latest nokia psp cash every wktxt great httpwwwgrprizescom,spam
call youcarlos isare phone vibrate acting might hear text,ham
im smoking people use wylie smoke much justify ruining shit,ham
want new video phone anytime network min text five pound per week call reply delivery tomorrow,spam
sound great home,ham
kthen special,ham
number u live,ham
oh fuck juswoke bed boatin dock slept wid year old spinout giv u da gossip lr xxx,ham
knock knock txt whose enter r weekly draw gift voucher store yr choice tc wwwtklscom age stoptxtstopweek,spam
tessypls favor pls convey birthday wish nimyapls dnt forget today birthday shijas,ham
dice art class thru thanks though idea time come tomorrow,ham
u got person story,ham
yeah tote u wanna,ham
sorry dai thought calling lot timeslil busyi call noon,ham
wasnt paying attention,ham
good morning love go sleep wish great day full feeling better opportunity last thought babe love kiss,ham
u drive lor,ham
huh slow tot u reach long ago liao u day leh,ham
dun cut short leh u dun like ah failed shes quite sad,ham
shopping lor raining mah hard leave orchard,ham
never blame day ur life good day give u happiness bad day give u experience essential life god blessing good morning,ham
ok april cant wait,ham
love daddy make scream pleasure going slap as dick,ham
yes reg ciao,ham
nd time tried contact u u prize claim call b tcsstop sm ppm,spam
told number gautham,ham
someonone know trying contact via dating service find could call mobile landline boxskch,spam
got c lazy type forgot lect saw pouch like v nice,ham
sad story man last week bday wife didnt wish parent forgot n kid went work even colleague wish,ham
nice day today love dearly,ham
drop tank,ham
sunshine hols claim ur med holiday send stamped self address envelope drink u uk po box bray wicklow eire quiz start saturday unsub stop,spam
oh k got job whats,ham
indeed way either,ham
sorry ill call later ok bye,ham
hi harishs rent transfred ur acnt,ham
urgent urgent free flight europe give away call b th sept take friend free call claim bannfwflyppm,spam
hide anythiing keeping distance,ham
met stranger choose friend long world stand friendship never end let friend forever gud nitz,ham
welcome ukmobiledate msg free giving free calling future mg billed p daily cancel send go stop,spam
hank lotsly,ham
awarded sipix digital camera call landline delivery within day c box mbp yr warranty ppm p p,spam
hi wlcome back wonder got eaten lion something nothing much,ham
yup,ham
lol dont know awesome phone could click delete right want,ham
current food alone also,ham
got job wiproyou get every thing life year,ham
gentle princess make sweet gentle love,ham
friendship poem dear dear u r near hear dont get fear live cheer tear u r always dear gud ni,ham
yay better told girl either,ham
esplanade lor else,ham
thanks hope good day today,ham
hmmmbut give one day,ham
texted finished long time ago showered erything,ham
enjoy watching playing football basketball anything outdoors,ham
double min txts month free bluetooth orange available sony nokia motorola phone call mobileupd calloptoutndx,spam
good evening roger,ham
ok wahala remember friend need,ham
accidentally brought em home box,ham
aight thanks comin,ham
hey tmr maybe meet yck,ham
im lip synced shangela,ham
pls need dat slowly vomit,ham
im watching lotr w si dis aft u wan meet dinner nite,ham
hi finally completed course,ham
whenwhere pick,ham
yes possible dint try pls dont tell one k,ham
hey happened u switch ur cell whole day isnt good u care give call tomorrow,ham
alrite hunnywot u nite didnt end goin town jus da pub instead jus chillin da mo bedroomlove jen xxx,ham
wif family booking tour package,ham
darren saying dat u meeting da ge den dun meet dinner co later u leave xy feel awkward den u meet lunch lor,ham
aight sorry take ten year shower whats plan,ham
ok u tell wat time u coming later lor,ham
anything lor,ham
back brum thanks putting u keeping u happy see soon,ham
time,ham
happy birthday may ur dream come true,ham
wylie update weed dealer carlos went freedom class lunsford,ham
im realy soz imat mum nite moro,ham
ya came ago,ham
awesome text youre restocked,ham
badrith chennaii surely pick usno competition,ham
yup thk u oso boring wat,ham
wat uniform get,ham
pls ask macho much budget bb bold co saw new one ltgt dollar,ham
sorry ill call later,ham
anytime,ham
please give pick tuesday evening ok,ham
freemsg hey im buffy love satisfy men home alone feeling randy reply c pix qlynnbv helpp msg send stop stop txts,spam
even friend priest call,ham
probably ltgt,ham
im sorry ive joined league people dont keep touch mean great deal friend time even great personal cost great week,ham
gain right wifedont demand iti trying husband toolets see,ham
know grumpy old people mom like better lying always one play joke,ham
oops ltgt,ham
im done studyn library,ham
problem baby good time talk called left message,ham
yo dude guess got arrested day,ham
ha u e thing got tv watch u thk go tonight u already haf smth mind,ham
thanks bomb date phone wanted say,ham
hi elaine today meeting confirmed,ham
kkhow sister kid,ham
nice talking please dont forget pix want see,ham
damn poor zac doesnt stand chance,ham
thats fine give call know want question,ham
love aathilove u lot,ham
hello per request ltgt r transfered,ham
derek done class,ham
thank youve wonderful,ham
say hell give call friend got money he definitely buying end week,ham
whats significance,ham
urgent trying contact last weekend draw show prize guaranteed call claim code valid hr,spam
well meant opposed drunken night,ham
sorry never hear unless book one kinda jokethet really looking skinny white girl one lineyou much camera something like theyre casting look,ham
pub,ham
hasnt pattern recently crap weekend,ham
prakesh know,ham
said u mind go bedroom minute ok sed sexy mood came minuts latr wid caken wife,ham
bored speed dating try speedchat txt speedchat dont like em txt swap get new chatter chat poboxwwq pmsg rcd,spam
hoping get away langport still town tonight,ham
great office today,ham
site simulate test give tough question test readiness,ham
likely called mittelschmertz google dont paracetamol dont worry go,ham
dunno lei shd b driving lor co go sch hr oni,ham
ah well confuses thing doesnt thought friend maybe wrong thing already sort invited tho may come co money,ham
nvm im going wear sport shoe anyway im going late leh,ham
spending new year brother family let plan meet next week ready spoiled,ham
escape theatre going watch kavalan minute,ham
could work well reach consensus next meeting,ham
cool let know kick around ltgt ill day,ham
waiti come ltgt min,ham
ok ur typical reply,ham
hope thing went well doctor reminds still need godid u c little thing left lounge,ham
thats cool liked photo sexy,ham
pity mood soany suggestion,ham
yet id like keep touch easiest way barcelona way ru house,ham
got look scrumptious daddy want eat night long,ham
watching house entertaining getting whole hugh laurie thing even stick indeed especially stick,ham
ill ltgt ok,ham
apart one told yesterday,ham
happen dear silent tensed,ham
prabhaim sorydarealyfrm heart im sory,ham
hi mom might back later ltgt,ham
noe la u wana pei bf oso rite k lor day den,ham
tell friend come round til like ltgt ish,ham
yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheer,ham
sir receive account another hr time sorry delay,ham
kkare college,ham
next month get upto call ur standard network charge activate call c wirenet stterms pobox uz cost min mobcudb,spam
dont gimme lip caveboy,ham
cant pick phone right pls send message,ham
garage key arent bookshelf,ham
swhrt u deyhope ur ok tot u daylove n misstake care,ham
hope know im still mad,ham
found diff farm shop buy cheese way back call,ham
